GyroY,MagZ,AngY,MagX,MagY,AngX,AngZ,AccX,AccY,AccZ,Timestamp,GyroZ,GyroX,Tag
-0.42724609999999996,-2.058333,-5.553589,14.741670000000001,1.933333,83.59497,-66.22559,0.08544922,1.043945,0.1181641,155142,-12.02393,-3.540039,1
-11.16943,-0.24166669999999998,-1.477661,14.95,2.725,80.36499,-80.14526,0.03320313,1.043945,0.1923828,156982,7.507324,-10.13184,1
-7.263184,-0.9833333999999999,-5.223999,15.5,3.375,81.13953,-67.1759,0.1289063,1.004395,0.31005859999999996,158782,-3.723145,-4.455566,1
7.93457,-0.47500000000000003,-1.5271000000000001,16.00833,3.875,80.45837,-72.57019,-0.09619142,0.8789062999999999,0.3671875,160602,-2.441406,7.629395,1
7.141113,1.85,-5.152588,18.20833,-2.283333,80.07385,-64.92371,0.1967773,0.8916016999999999,0.07373047,163422,-7.69043,2.01416,1
-7.141113,0.7833333,-2.872925,18.65,-0.5583332999999999,80.02441,-76.5802,0.03320313,0.8920897,-0.006347656,165272,3.90625,-17.63916,1
2.563477,0.5083333,-5.767822,17.05,-0.7000000000000001,80.74402,-67.46704,0.1533203,0.8808594,0.005371094000000001,167072,-6.652832,-13.97705,1
-7.93457,0.4333333,-2.37854,26.775,6.541667,78.71155,-70.58167,0.05615234,1.089355,-0.001464844,168952,-0.793457,1.037598,1
-29.11377,-0.7416667,-5.690918,16.7,4.591667,79.56299,-70.06531,0.1967773,0.9570312999999999,0.3764648,170842,13.79395,5.615234,1
0.12207029999999999,23.35833,-2.768555,36.03333,-90.01667,83.38623,-84.09485,0.1328125,0.9111328,0.137207,172772,28.86963,1.586914,1
-6.530762,24.08333,-4.301147,40.875,-86.06667,79.74426,-70.08728,0.01171875,0.9414062999999999,0.022460940000000002,174662,-6.530762,3.845215,1
-15.13672,1.35,-4.103394,23.3,6.408333,78.64014,-70.91125,0.1708984,1.052734,-0.07568359,176612,0.9765625,6.9580079999999995,1
1.708984,0.675,-3.158569,16.50833,5.425,77.53601,-71.33972,0.06445313,1.478516,0.5224609,178532,-15.86914,-7.751465,1
15.86914,-0.9,-6.745605,15.31667,2.991667,79.84863,-61.68274,0.1118164,0.9848633,0.2587891,180452,7.202148,-13.24463,1
37.47559,-0.35833329999999997,-2.9608149999999998,16.125,2.308333,83.5675,-52.01477,0.190918,0.9453125,0.19433589999999998,182382,14.95361,-8.361816,1
24.53613,-1.65,-2.373047,16.80833,4.375,80.02441,-35.40344,0.04345703,0.9697266999999999,0.2836914,184412,-6.286621,0.793457,1
31.98242,-0.2333333,-3.301392,17.18333,1.558333,85.69885,-32.26135,0.056640630000000004,1.013672,0.08496094,186342,1.220703,-0.5493163999999999,1
3.051758,38.49166,-3.284912,56.15833,-92.85,88.13232,-37.22168,0.078125,1.009766,0.07128906,188342,0.7324219,3.4790039999999998,1
7.019043,-0.675,-6.70166,17.99167,2.141667,86.73706,-16.16089,0.1733398,0.9741211,0.1303711,190302,6.408691,-6.04248,1
-6.835938,60.25834,-5.042725,58.44167,-95.16666,88.12683,1.939087,0.08837892,1.001953,0.10693359999999999,192292,0.06103516,-5.249023,1
19.40918,71.09167,-6.2677,52.925,-96.33334,86.67664,23.58215,0.07226563,1.00293,0.12402339999999999,194302,3.78418,-0.7324219,1
2.685547,0.025,-4.487915,17.45,0.9333332999999999,91.03821,9.365845,0.052734380000000004,1.015625,0.07080078000000001,196332,0.7324219,1.525879,1
-20.1416,-0.1833333,-3.988037,17.25833,1.525,90.0824,11.03577,0.06103516,1.007813,0.08935547,198342,-1.89209,-1.6479489999999999,1
0.9765625,0.15,-4.185791,17.25,1.616667,89.87366,6.866455,0.06933594,1.012695,0.09228517,200372,-0.06103516,0.4882813,1
-11.77979,0.1666667,-3.817749,17.4,1.383333,90.401,4.910889,0.08251953000000001,1.019043,0.10107419999999999,202392,-1.098633,2.075195,1
-0.12207029999999999,63.26667,-3.988037,57.68333,-95.44167,89.74731,6.256714,0.06787109,1.009766,0.08935547,204472,0.3051758,-0.06103516,1
-8.056641,69.46667,-5.20752,54.40833,-96.05833,89.07715,19.63257,0.04003906,1.016602,0.1293945,206602,-2.807617,1.6479489999999999,1
-5.249023,65.15,-4.279175,56.625,-95.73333,90.23071,9.547119,0.05712891,1.003418,0.09863281,208692,0.6713867,-0.42724609999999996,1
